Year,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2
1971,4009.720988337403,23365.025103925094,245.5604735644178,349.56870273914296,726.1443492811896,362.29869200117025,211.33720930232556
1972,4761.7587115820115,23425.774169195298,255.53474710384677,359.42111852214714,808.990837612131,373.079702413108,314.43798449612405
1973,4080.444016268308,14376.397607635152,273.51274998285163,372.57113175912104,843.9233895036613,385.84668842724477,543.8468992248062
1974,3023.5361494891954,10522.085409028168,294.9719671863255,379.98011367377757,806.9534705020917,424.71506807028334,903.5852713178294
1975,4142.097493447771,16766.94309928639,312.0401824490456,393.6793604111778,896.1215390876388,453.4840324528853,679.5058139534883
1976,5129.200705777594,24900.587196750217,327.56917416880475,456.607276908399,1073.1307598019398,490.569207729024,651.6472868217054
1977,4771.197675053536,32537.597289993508,344.8024700233289,462.49733090970153,1179.9573089023015,562.4613465899728,799.1763565891472
1978,5081.768477709861,42077.62081541961,369.5534479743342,458.9010409693096,1216.979472163429,650.9004966826768,1094.9612403100775
1979,6022.886091275286,59737.598271651215,406.7093649253859,461.9789834652378,1192.5290141419148,740.3502820369475,2480.6201550387595
1980,7934.263778934181,85072.31369865849,453.04120772644796,448.16699336164055,1152.9885879552935,795.1130096848992,2857.315891472868
1981,7561.163732783006,81550.31991153402,516.6309085865288,484.91317021175587,1250.559088237157,835.6240672036374,1925.8720930232555
1982,9105.081920035633,103658.6116395509,571.4114208915723,644.0352424164572,1613.8772127981929,840.3346552872115,2226.7441860465115
1983,11138.898259597305,140830.58977349385,620.6536000628929,664.6457190743178,1875.2331627950778,880.2461834134947,1852.7131782945733
1984,11823.510763827162,120381.98813838254,679.8656983182103,755.9239372722727,2168.1297184589794,921.4252879695398,1493.7015503875966
1985,15516.60202537456,150646.01995637192,730.6593418856262,950.2907905396761,2685.5027480164476,990.2683916345752,1583.333333333333
1986,18386.332207530046,153899.97398742958,774.2744438489366,1181.0614505867354,3258.966619291611,1085.4565297452002,1883.4786821705422
