Year,S&P 500 (includes dividends)3,US Small cap (bottom decile)22,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2
1971,1687.7905640425931,9834.91594894601,103.36246621381619,147.1420978376785,305.65208512371237,152.5004646216283,88.9570493131641
1972,1938.3163579784443,9535.67033121983,104.01769815394809,146.30557229619248,329.3069365703556,151.8654207022607,127.99478634567778
1973,1527.9588684527027,5383.371058004966,102.41930297413607,139.51260270479753,316.01468422205,144.48375399711625,203.64835038491682
1974,1007.8456645654306,3507.362782306338,98.32401651533044,126.6600732562415,268.9845652710186,141.57172888525315,301.19517453651224
1975,1291.1406141987422,5226.453806481598,97.26660308195567,122.71449718474979,279.33164687808056,141.35631841518443,211.80997196887571
1976,1524.659758363515,7401.723082456623,97.37024666883862,135.72694468633415,318.98913276859884,145.82216072656567,193.70277200201681
1977,1329.1746284594185,9064.421919681628,96.05611131590874,128.8439003878574,328.7160634442991,156.69217716244006,222.63695809480618
1978,1298.591191016352,10752.482717287205,94.43540260721592,117.26721749817632,310.9859941733036,166.3306100873789,279.8055494672591
1979,1358.487187357823,13474.065527011106,91.73500093749654,104.20129491992928,268.9799145647164,166.98910739169972,559.5142671224232
1980,1590.5308221508774,17053.8994945768,90.81825669906941,89.84115429902313,231.13220556141567,159.39119044096907,572.7877369133287
1981,1391.576399819691,15008.734712965566,95.08210709541174,89.24469135653264,230.15617374156906,153.7904444523813,354.44254990839846
1982,1613.9136478779574,18373.92013761227,101.28505145032614,114.15792593398658,286.06644977050854,148.9528134797431,394.6996703330365
1983,1902.3002334432233,24051.037863752736,105.99517661181157,113.50814749230162,320.25218295462827,150.32837908832227,316.4062216419342
1984,1942.5148075969178,19777.86456136075,111.69687350399627,124.19267600793782,356.2075737929328,151.38331598183584,245.4040460330394
1985,2455.9680885439207,23844.255145164043,115.64877570057293,150.41204592255303,425.06143033375787,156.7397014482313,250.61003264989452
1986,2878.5850556264345,24094.75474396559,121.22128643494285,184.90832228317316,510.2275158085194,169.94030727765295,294.8795619425735
1987,2916.5768020793557,19834.71216079992,122.78012688054257,168.27400287333214,502.3039826230756,175.4973441799378,351.61372485729686
1988,3255.0430340016155,22294.70714604772,125.42461786893396,174.40452572877777,550.2298603983592,180.20602634670468,285.363281868213
1989,4089.5214749505762,22785.288576674255,129.57669333288413,196.14748506777843,609.6534575981095,179.77032583915005,264.94685463018214
1990,3736.0661549577094,15478.479786269729,131.2744264412346,196.3861670075638,610.6558305607622,168.26204178125954,241.9316772035568
1991,4720.995379121172,21967.2348008221,134.2183873103364,219.1379487763944,704.6486212115186,162.9842547141149,214.65030193208818
1992,4931.721938025801,26793.87972623285,134.91055947586005,232.89731285761363,762.2020570849453,159.68470356364975,196.63823625696315
1993,5278.202555542786,32786.82850643876,135.23712029803963,258.8791896773318,856.5907681415891,158.76490607839582,225.21020718485877
1994,5208.855654716793,30332.835384564463,137.31470825694558,231.87162676540063,826.1967244860577,158.51856145393097,214.58380402547706
1995,6969.388228312064,39128.01199390884,141.26680575739263,279.2289187920422,977.2643642699285,157.36465828695978,211.3192996238472
1996,8275.171873631329,43410.14670632926,143.56775986030596,274.11073068255524,978.1459747603081,155.9983357322416,195.1434055450929
1997,10830.183028531592,52146.4353162978,148.3104378251079,296.3105622849657,1084.438817637827,159.55636146250214,150.79938913886917
1998,13678.747504108082,44411.65367710289,152.92862844948272,335.12250151390595,1148.639208761595,167.14129442131357,147.17986209024016
1999,16103.299202589027,59789.58281870911,155.83850162081038,299.42259129154354,1128.7536267947492,175.2713557952434,144.55219273901216
2000,14169.001222485811,52458.46213346851,159.50583249437653,337.8498898504918,1194.2712277841024,185.28335632264827,132.20581424107192
2001,12299.160176503345,68259.41684017297,162.40788607942662,351.2254621198344,1276.440270364804,194.6327956527666,131.15811678150553
2002,9374.692744401173,64287.669668184724,161.18385713754876,394.9309558217113,1398.2125613623778,208.29072310876313,160.87099051313288
2003,11810.975765884168,121098.43390481567,159.80563966248843,389.1001074989456,1541.45030834946,224.51171791438892,189.3064902016058
2004,12667.407381476216,137792.62830473043,156.89459425482255,393.7544502319618,1647.2987924112335,247.08719250962284,191.8605485265558
2005,12841.198658031657,138477.942892891,156.49028015607863,391.66746010512895,1677.2885485764275,271.2043396697968,218.48864324638953
2006,14478.197908591337,159990.03219231396,159.83151112018615,389.4534156564719,1720.730455667272,269.0678300207881,262.5019385179866
2007,14673.426575531357,139651.3938067024,160.26253832392436,412.3857302555646,1733.3498530888803,244.55905768748582,332.71984168828567
2008,9301.44275183164,76961.35844602154,162.31187285334337,494.82821779925376,1670.4569325258158,215.02715309851433,346.7691739902732
2009,11403.467696062931,110495.65989477799,158.2496884379926,428.16781334751045,1954.8524390588968,201.26303964496245,422.09934507622114
2010,12900.628879986642,139611.43804789332,156.13345975781533,457.5595624013262,2107.2945453386956,190.13209602926457,537.4877045420637
2011,12792.368727234078,116407.92782853823,151.72133743355235,515.6549069596929,2297.644331467542,177.48664497780487,584.7922484872894
2012,14571.45896932393,135846.02622504026,149.25567418642368,521.8917243784136,2468.961952334791,185.6769775718064,607.4578896086396
2013,18970.578204663914,201664.31857807626,147.13133915265814,467.3572426446834,2408.527443400801,202.53751150310563,433.20770480710286
2014,21374.5429107382,203332.59052937204,146.0744419806892,513.6942496655003,2648.176269957657,210.06935513262707,430.4905732261268
2015,21512.33788890502,183268.67728707223,145.09197229184673,516.5234811242955,2589.5398213083354,219.38166495344367,375.63447043260555
2016,23556.299133541383,210963.99458779258,142.5923868584137,509.5197380604629,2829.273978602304,226.32558396128817,397.82174787750694
2017,28054.06822732491,238568.5235343655,140.95158908741072,512.9759620442502,3026.6911146355,235.40847652111955,438.93850567451335
2018,26364.65238901025,196032.74257216125,140.9877504517985,503.27693933367266,2872.8596634179407,241.43145797525116,426.7077193917154
2019,33820.65733791327,215169.0671808947,140.6808542036528,539.4438534860658,3236.9383271530887,244.7361763273715,496.7608447745603
2020,39379.86497040295,286001.9096038244,139.28286043568664,592.5031269842201,3531.986222053122,266.62246446648265,608.5366428566887
2021,47265.09892798209,325156.41762698843,130.18521313167523,529.1078406855407,3330.6009504488416,296.08599395228975,547.1872828831455
2022,36390.84331635001,234029.63821673742,124.76814123220079,408.4167373314663,2654.857033816774,293.85380927895926,516.8350403843766
2023,44386.652500614095,238146.02981781386,126.84242661094763,410.5027615688262,2793.147002408767,300.4679715235985,566.3921622784738
2024,53945.922363689024,251751.0633460919,129.58296371144692,392.97527189025124,2765.5921819044897,304.83711228897874,694.3170504943931
