,w_SP,w_AAA,w_BAA,w_T10
2019-06,0.6421117116774556,0.3578882883225443,0.0,2.874341932003477e-15
2019-07,0.6456041864302651,0.3543958135697343,7.827791143717443e-16,0.0
2019-08,0.582555024644216,0.0,0.4174449753557844,0.0
2019-10,0.5912109538692942,4.59917790563534e-16,0.4087890461307056,0.0
2019-11,0.5903211690745357,7.893020354038282e-16,0.40967883092546303,5.192227081026796e-16
2019-12,0.5896311009725921,0.0,0.41036889902740975,6.376246810187106e-16
2020-02,0.0,9.002995396880467e-16,0.9999999999999998,4.784499012807532e-16
2020-03,0.0,1.2212453270876722e-15,1.0,4.111294642200936e-16
2020-04,0.52179760445283,0.4782023955471702,9.575673587391975e-16,0.0
2020-05,0.564683093342885,0.4353169066571155,0.0,4.1654369840535277e-16
2020-06,0.493724425780203,0.0,0.5062755742197975,3.6224309297247175e-16
2020-07,0.4863509502540428,3.452017104305087e-15,0.5136490497459537,0.0
